Status;Level;Conjunction;RefDevice;ClOrder;Choice
иностранный (foreign language);Advanced;из-за того что;pr;ms;no
иностранный (foreign language);Advanced;когда;pr;sm;no
иностранный (foreign language);Advanced;если;np;ms;pr
иностранный (foreign language);Advanced;хотя;pr;sm;no
иностранный (foreign language);Advanced;из-за того что;np;ms;no
иностранный (foreign language);Advanced;когда;pr;ms;no
иностранный (foreign language);Advanced;хотя;pr;ms;no
иностранный (foreign language);Advanced;когда;np;ms;no
иностранный (foreign language);Advanced;если;pr;sm;no
иностранный (foreign language);Advanced;из-за того что;pr;sm;no
иностранный (foreign language);Advanced;хотя;np;ms;no
иностранный (foreign language);Advanced;если;pr;ms;no
иностранный (foreign language);Intermediate-low;из-за того что;pr;ms;no
иностранный (foreign language);Intermediate-low;когда;pr;sm;pr
иностранный (foreign language);Intermediate-low;если;np;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;np;ms;no
иностранный (foreign language);Intermediate-low;когда;pr;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;ms;no
иностранный (foreign language);Intermediate-low;когда;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;pr;sm;no
иностранный (foreign language);Intermediate-low;хотя;np;ms;no
иностранный (foreign language);Intermediate-low;если;pr;ms;pr
эритажный (heritage language);Intermediate-high;из-за того что;pr;ms;pr
эритажный (heritage language);Intermediate-high;когда;pr;sm;no
эритажный (heritage language);Intermediate-high;если;np;ms;pr
эритажный (heritage language);Intermediate-high;хотя;pr;sm;pr
эритажный (heritage language);Intermediate-high;из-за того что;np;ms;no
эритажный (heritage language);Intermediate-high;когда;pr;ms;pr
эритажный (heritage language);Intermediate-high;хотя;pr;ms;pr
эритажный (heritage language);Intermediate-high;когда;np;ms;pr
эритажный (heritage language);Intermediate-high;если;pr;sm;pr
эритажный (heritage language);Intermediate-high;из-за того что;pr;sm;pr
эритажный (heritage language);Intermediate-high;хотя;np;ms;no
эритажный (heritage language);Intermediate-high;если;pr;ms;pr
иностранный (foreign language);Advanced;из-за того что;pr;ms;pr
иностранный (foreign language);Advanced;когда;pr;sm;pr
иностранный (foreign language);Advanced;если;np;ms;pr
иностранный (foreign language);Advanced;хотя;pr;sm;no
иностранный (foreign language);Advanced;из-за того что;np;ms;pr
иностранный (foreign language);Advanced;когда;pr;ms;pr
иностранный (foreign language);Advanced;хотя;pr;ms;pr
иностранный (foreign language);Advanced;когда;np;ms;pr
иностранный (foreign language);Advanced;если;pr;sm;pr
иностранный (foreign language);Advanced;из-за того что;pr;sm;pr
иностранный (foreign language);Advanced;хотя;np;ms;pr
иностранный (foreign language);Advanced;если;pr;ms;pr
иностранный (foreign language);Advanced;из-за того что;pr;ms;pr
иностранный (foreign language);Advanced;когда;pr;sm;pr
иностранный (foreign language);Advanced;если;np;ms;pr
иностранный (foreign language);Advanced;хотя;pr;sm;pr
иностранный (foreign language);Advanced;из-за того что;np;ms;pr
иностранный (foreign language);Advanced;когда;pr;ms;pr
иностранный (foreign language);Advanced;хотя;pr;ms;pr
иностранный (foreign language);Advanced;когда;np;ms;pr
иностранный (foreign language);Advanced;если;pr;sm;pr
иностранный (foreign language);Advanced;из-за того что;pr;sm;pr
иностранный (foreign language);Advanced;хотя;np;ms;pr
иностранный (foreign language);Advanced;если;pr;ms;pr
иностранный (foreign language);Advanced;из-за того что;pr;ms;no
иностранный (foreign language);Advanced;когда;pr;sm;no
иностранный (foreign language);Advanced;если;np;ms;no
иностранный (foreign language);Advanced;хотя;pr;sm;no
иностранный (foreign language);Advanced;из-за того что;np;ms;no
иностранный (foreign language);Advanced;когда;pr;ms;no
иностранный (foreign language);Advanced;хотя;pr;ms;no
иностранный (foreign language);Advanced;когда;np;ms;no
иностранный (foreign language);Advanced;если;pr;sm;no
иностранный (foreign language);Advanced;из-за того что;pr;sm;no
иностранный (foreign language);Advanced;хотя;np;ms;no
иностранный (foreign language);Advanced;если;pr;ms;no
эритажный (heritage language);Intermediate-high;из-за того что;pr;ms;pr
эритажный (heritage language);Intermediate-high;когда;pr;sm;pr
эритажный (heritage language);Intermediate-high;если;np;ms;pr
эритажный (heritage language);Intermediate-high;хотя;pr;sm;pr
эритажный (heritage language);Intermediate-high;из-за того что;np;ms;pr
эритажный (heritage language);Intermediate-high;когда;pr;ms;pr
эритажный (heritage language);Intermediate-high;хотя;pr;ms;pr
эритажный (heritage language);Intermediate-high;когда;np;ms;pr
эритажный (heritage language);Intermediate-high;если;pr;sm;pr
эритажный (heritage language);Intermediate-high;из-за того что;pr;sm;pr
эритажный (heritage language);Intermediate-high;хотя;np;ms;no
эритажный (heritage language);Intermediate-high;если;pr;ms;pr
иностранный (foreign language);Intermediate-low;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;sm;pr
иностранный (foreign language);Intermediate-low;если;np;ms;no
иностранный (foreign language);Intermediate-low;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;np;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;pr;sm;pr
иностранный (foreign language);Intermediate-low;хотя;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;ms;pr
иностранный (foreign language);Intermediate-high;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-high;когда;pr;sm;no
иностранный (foreign language);Intermediate-high;если;np;ms;pr
иностранный (foreign language);Intermediate-high;хотя;pr;sm;no
иностранный (foreign language);Intermediate-high;из-за того что;np;ms;no
иностранный (foreign language);Intermediate-high;когда;pr;ms;no
иностранный (foreign language);Intermediate-high;хотя;pr;ms;no
иностранный (foreign language);Intermediate-high;когда;np;ms;pr
иностранный (foreign language);Intermediate-high;если;pr;sm;pr
иностранный (foreign language);Intermediate-high;из-за того что;pr;sm;no
иностранный (foreign language);Intermediate-high;хотя;np;ms;no
иностранный (foreign language);Intermediate-high;если;pr;ms;no
иностранный (foreign language);Advanced;из-за того что;pr;ms;pr
иностранный (foreign language);Advanced;когда;pr;sm;pr
иностранный (foreign language);Advanced;если;np;ms;pr
иностранный (foreign language);Advanced;хотя;pr;sm;pr
иностранный (foreign language);Advanced;из-за того что;np;ms;no
иностранный (foreign language);Advanced;когда;pr;ms;pr
иностранный (foreign language);Advanced;хотя;pr;ms;pr
иностранный (foreign language);Advanced;когда;np;ms;no
иностранный (foreign language);Advanced;если;pr;sm;no
иностранный (foreign language);Advanced;из-за того что;pr;sm;pr
иностранный (foreign language);Advanced;хотя;np;ms;no
иностранный (foreign language);Advanced;если;pr;ms;pr
иностранный (foreign language);Intermediate-low;из-за того что;pr;ms;no
иностранный (foreign language);Intermediate-low;когда;pr;sm;no
иностранный (foreign language);Intermediate-low;если;np;ms;no
иностранный (foreign language);Intermediate-low;хотя;pr;sm;no
иностранный (foreign language);Intermediate-low;из-за того что;np;ms;no
иностранный (foreign language);Intermediate-low;когда;pr;ms;no
иностранный (foreign language);Intermediate-low;хотя;pr;ms;no
иностранный (foreign language);Intermediate-low;когда;np;ms;no
иностранный (foreign language);Intermediate-low;если;pr;sm;no
иностранный (foreign language);Intermediate-low;из-за того что;pr;sm;no
иностранный (foreign language);Intermediate-low;хотя;np;ms;no
иностранный (foreign language);Intermediate-low;если;pr;ms;no
иностранный (foreign language);Intermediate-low;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;sm;pr
иностранный (foreign language);Intermediate-low;если;np;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;np;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;sm;no
иностранный (foreign language);Intermediate-low;из-за того что;pr;sm;pr
иностранный (foreign language);Intermediate-low;хотя;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;ms;pr
иностранный (foreign language);Intermediate-high;из-за того что;pr;ms;no
иностранный (foreign language);Intermediate-high;когда;pr;sm;pr
иностранный (foreign language);Intermediate-high;если;np;ms;pr
иностранный (foreign language);Intermediate-high;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-high;из-за того что;np;ms;no
иностранный (foreign language);Intermediate-high;когда;pr;ms;pr
иностранный (foreign language);Intermediate-high;хотя;pr;ms;no
иностранный (foreign language);Intermediate-high;когда;np;ms;pr
иностранный (foreign language);Intermediate-high;если;pr;sm;pr
иностранный (foreign language);Intermediate-high;из-за того что;pr;sm;pr
иностранный (foreign language);Intermediate-high;хотя;np;ms;pr
иностранный (foreign language);Intermediate-high;если;pr;ms;no
иностранный (foreign language);Intermediate-low;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;sm;pr
иностранный (foreign language);Intermediate-low;если;np;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;np;ms;no
иностранный (foreign language);Intermediate-low;когда;pr;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;pr;sm;pr
иностранный (foreign language);Intermediate-low;хотя;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;ms;pr
иностранный (foreign language);Intermediate-high;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-high;когда;pr;sm;pr
иностранный (foreign language);Intermediate-high;если;np;ms;pr
иностранный (foreign language);Intermediate-high;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-high;из-за того что;np;ms;pr
иностранный (foreign language);Intermediate-high;когда;pr;ms;pr
иностранный (foreign language);Intermediate-high;хотя;pr;ms;pr
иностранный (foreign language);Intermediate-high;когда;np;ms;pr
иностранный (foreign language);Intermediate-high;если;pr;sm;pr
иностранный (foreign language);Intermediate-high;из-за того что;pr;sm;pr
иностранный (foreign language);Intermediate-high;хотя;np;ms;pr
иностранный (foreign language);Intermediate-high;если;pr;ms;pr
иностранный (foreign language);Intermediate-high;из-за того что;pr;ms;no
иностранный (foreign language);Intermediate-high;когда;pr;sm;pr
иностранный (foreign language);Intermediate-high;если;np;ms;pr
иностранный (foreign language);Intermediate-high;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-high;из-за того что;np;ms;no
иностранный (foreign language);Intermediate-high;когда;pr;ms;no
иностранный (foreign language);Intermediate-high;хотя;pr;ms;pr
иностранный (foreign language);Intermediate-high;когда;np;ms;no
иностранный (foreign language);Intermediate-high;если;pr;sm;no
иностранный (foreign language);Intermediate-high;из-за того что;pr;sm;no
иностранный (foreign language);Intermediate-high;хотя;np;ms;no
иностранный (foreign language);Intermediate-high;если;pr;ms;no
иностранный (foreign language);Intermediate-high;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-high;когда;pr;sm;no
иностранный (foreign language);Intermediate-high;если;np;ms;pr
иностранный (foreign language);Intermediate-high;хотя;pr;sm;no
иностранный (foreign language);Intermediate-high;из-за того что;np;ms;no
иностранный (foreign language);Intermediate-high;когда;pr;ms;no
иностранный (foreign language);Intermediate-high;хотя;pr;ms;no
иностранный (foreign language);Intermediate-high;когда;np;ms;pr
иностранный (foreign language);Intermediate-high;если;pr;sm;pr
иностранный (foreign language);Intermediate-high;из-за того что;pr;sm;no
иностранный (foreign language);Intermediate-high;хотя;np;ms;no
иностранный (foreign language);Intermediate-high;если;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;из-за того что;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;когда;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;если;np;ms;pr
иностранный (foreign language);Pre-Intermediate;хотя;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;из-за того что;np;ms;pr
иностранный (foreign language);Pre-Intermediate;когда;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;хотя;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;когда;np;ms;pr
иностранный (foreign language);Pre-Intermediate;если;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;из-за того что;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;хотя;np;ms;pr
иностранный (foreign language);Pre-Intermediate;если;pr;ms;pr
иностранный (foreign language);Intermediate-low;из-за того что;pr;ms;no
иностранный (foreign language);Intermediate-low;когда;pr;sm;pr
иностранный (foreign language);Intermediate-low;если;np;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;np;ms;no
иностранный (foreign language);Intermediate-low;когда;pr;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;np;ms;no
иностранный (foreign language);Intermediate-low;если;pr;sm;no
иностранный (foreign language);Intermediate-low;из-за того что;pr;sm;pr
иностранный (foreign language);Intermediate-low;хотя;np;ms;no
иностранный (foreign language);Intermediate-low;если;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;из-за того что;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;когда;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;если;np;ms;pr
иностранный (foreign language);Pre-Intermediate;хотя;pr;sm;no
иностранный (foreign language);Pre-Intermediate;из-за того что;np;ms;pr
иностранный (foreign language);Pre-Intermediate;когда;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;хотя;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;когда;np;ms;pr
иностранный (foreign language);Pre-Intermediate;если;pr;sm;no
иностранный (foreign language);Pre-Intermediate;из-за того что;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;хотя;np;ms;pr
иностранный (foreign language);Pre-Intermediate;если;pr;ms;pr
иностранный (foreign language);Advanced;из-за того что;pr;ms;no
иностранный (foreign language);Advanced;когда;pr;sm;pr
иностранный (foreign language);Advanced;если;np;ms;no
иностранный (foreign language);Advanced;хотя;pr;sm;pr
иностранный (foreign language);Advanced;из-за того что;np;ms;pr
иностранный (foreign language);Advanced;когда;pr;ms;pr
иностранный (foreign language);Advanced;хотя;pr;ms;pr
иностранный (foreign language);Advanced;когда;np;ms;pr
иностранный (foreign language);Advanced;если;pr;sm;pr
иностранный (foreign language);Advanced;из-за того что;pr;sm;pr
иностранный (foreign language);Advanced;хотя;np;ms;pr
иностранный (foreign language);Advanced;если;pr;ms;pr
эритажный (heritage language);Advanced;из-за того что;pr;ms;no
эритажный (heritage language);Advanced;когда;pr;sm;no
эритажный (heritage language);Advanced;если;np;ms;pr
эритажный (heritage language);Advanced;хотя;pr;sm;no
эритажный (heritage language);Advanced;из-за того что;np;ms;no
эритажный (heritage language);Advanced;когда;pr;ms;no
эритажный (heritage language);Advanced;хотя;pr;ms;no
эритажный (heritage language);Advanced;когда;np;ms;pr
эритажный (heritage language);Advanced;если;pr;sm;pr
эритажный (heritage language);Advanced;из-за того что;pr;sm;pr
эритажный (heritage language);Advanced;хотя;np;ms;no
эритажный (heritage language);Advanced;если;pr;ms;pr
иностранный (foreign language);Intermediate-low;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;sm;pr
иностранный (foreign language);Intermediate-low;если;np;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;np;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;pr;sm;pr
иностранный (foreign language);Intermediate-low;хотя;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;ms;pr
эритажный (heritage language);Advanced;из-за того что;pr;ms;pr
эритажный (heritage language);Advanced;когда;pr;sm;pr
эритажный (heritage language);Advanced;если;np;ms;pr
эритажный (heritage language);Advanced;хотя;pr;sm;no
эритажный (heritage language);Advanced;из-за того что;np;ms;no
эритажный (heritage language);Advanced;когда;pr;ms;no
эритажный (heritage language);Advanced;хотя;pr;ms;no
эритажный (heritage language);Advanced;когда;np;ms;pr
эритажный (heritage language);Advanced;если;pr;sm;pr
эритажный (heritage language);Advanced;из-за того что;pr;sm;no
эритажный (heritage language);Advanced;хотя;np;ms;no
эритажный (heritage language);Advanced;если;pr;ms;no
эритажный (heritage language);Advanced;из-за того что;pr;ms;pr
эритажный (heritage language);Advanced;когда;pr;sm;no
эритажный (heritage language);Advanced;если;np;ms;pr
эритажный (heritage language);Advanced;хотя;pr;sm;pr
эритажный (heritage language);Advanced;из-за того что;np;ms;no
эритажный (heritage language);Advanced;когда;pr;ms;pr
эритажный (heritage language);Advanced;хотя;pr;ms;no
эритажный (heritage language);Advanced;когда;np;ms;no
эритажный (heritage language);Advanced;если;pr;sm;no
эритажный (heritage language);Advanced;из-за того что;pr;sm;pr
эритажный (heritage language);Advanced;хотя;np;ms;no
эритажный (heritage language);Advanced;если;pr;ms;pr
иностранный (foreign language);Intermediate-low;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;sm;no
иностранный (foreign language);Intermediate-low;если;np;ms;no
иностранный (foreign language);Intermediate-low;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;np;ms;no
иностранный (foreign language);Intermediate-low;когда;pr;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;sm;other
иностранный (foreign language);Intermediate-low;из-за того что;pr;sm;no
иностранный (foreign language);Intermediate-low;хотя;np;ms;other
иностранный (foreign language);Intermediate-low;если;pr;ms;pr
иностранный (foreign language);Advanced;из-за того что;pr;ms;pr
иностранный (foreign language);Advanced;когда;pr;sm;pr
иностранный (foreign language);Advanced;если;np;ms;pr
иностранный (foreign language);Advanced;хотя;pr;sm;pr
иностранный (foreign language);Advanced;из-за того что;np;ms;no
иностранный (foreign language);Advanced;когда;pr;ms;pr
иностранный (foreign language);Advanced;хотя;pr;ms;pr
иностранный (foreign language);Advanced;когда;np;ms;pr
иностранный (foreign language);Advanced;если;pr;sm;pr
иностранный (foreign language);Advanced;из-за того что;pr;sm;pr
иностранный (foreign language);Advanced;хотя;np;ms;pr
иностранный (foreign language);Advanced;если;pr;ms;pr
эритажный (heritage language);Advanced;из-за того что;pr;ms;no
эритажный (heritage language);Advanced;когда;pr;sm;no
эритажный (heritage language);Advanced;если;np;ms;pr
эритажный (heritage language);Advanced;хотя;pr;sm;pr
эритажный (heritage language);Advanced;из-за того что;np;ms;no
эритажный (heritage language);Advanced;когда;pr;ms;pr
эритажный (heritage language);Advanced;хотя;pr;ms;no
эритажный (heritage language);Advanced;когда;np;ms;pr
эритажный (heritage language);Advanced;если;pr;sm;pr
эритажный (heritage language);Advanced;из-за того что;pr;sm;no
эритажный (heritage language);Advanced;хотя;np;ms;no
эритажный (heritage language);Advanced;если;pr;ms;no
иностранный (foreign language);Intermediate-high;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-high;когда;pr;sm;pr
иностранный (foreign language);Intermediate-high;если;np;ms;no
иностранный (foreign language);Intermediate-high;хотя;pr;sm;no
иностранный (foreign language);Intermediate-high;из-за того что;np;ms;no
иностранный (foreign language);Intermediate-high;когда;pr;ms;pr
иностранный (foreign language);Intermediate-high;хотя;pr;ms;no
иностранный (foreign language);Intermediate-high;когда;np;ms;pr
иностранный (foreign language);Intermediate-high;если;pr;sm;no
иностранный (foreign language);Intermediate-high;из-за того что;pr;sm;pr
иностранный (foreign language);Intermediate-high;хотя;np;ms;no
иностранный (foreign language);Intermediate-high;если;pr;ms;no
иностранный (foreign language);Intermediate-low;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;sm;pr
иностранный (foreign language);Intermediate-low;если;np;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;np;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;pr;sm;pr
иностранный (foreign language);Intermediate-low;хотя;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;из-за того что;pr;ms;no
иностранный (foreign language);Pre-Intermediate;когда;pr;sm;no
иностранный (foreign language);Pre-Intermediate;если;np;ms;pr
иностранный (foreign language);Pre-Intermediate;хотя;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;из-за того что;np;ms;pr
иностранный (foreign language);Pre-Intermediate;когда;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;хотя;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;когда;np;ms;pr
иностранный (foreign language);Pre-Intermediate;если;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;из-за того что;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;хотя;np;ms;other
иностранный (foreign language);Pre-Intermediate;если;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;из-за того что;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;когда;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;если;np;ms;pr
иностранный (foreign language);Pre-Intermediate;хотя;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;из-за того что;np;ms;pr
иностранный (foreign language);Pre-Intermediate;когда;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;хотя;pr;ms;pr
иностранный (foreign language);Pre-Intermediate;когда;np;ms;pr
иностранный (foreign language);Pre-Intermediate;если;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;из-за того что;pr;sm;pr
иностранный (foreign language);Pre-Intermediate;хотя;np;ms;pr
иностранный (foreign language);Pre-Intermediate;если;pr;ms;no
иностранный (foreign language);Intermediate-low;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;sm;pr
иностранный (foreign language);Intermediate-low;если;np;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;np;ms;pr
иностранный (foreign language);Intermediate-low;когда;pr;ms;pr
иностранный (foreign language);Intermediate-low;хотя;pr;ms;no
иностранный (foreign language);Intermediate-low;когда;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;sm;pr
иностранный (foreign language);Intermediate-low;из-за того что;pr;sm;pr
иностранный (foreign language);Intermediate-low;хотя;np;ms;pr
иностранный (foreign language);Intermediate-low;если;pr;ms;pr
иностранный (foreign language);Intermediate-high;из-за того что;pr;ms;pr
иностранный (foreign language);Intermediate-high;когда;pr;sm;pr
иностранный (foreign language);Intermediate-high;если;np;ms;pr
иностранный (foreign language);Intermediate-high;хотя;pr;sm;pr
иностранный (foreign language);Intermediate-high;из-за того что;np;ms;pr
иностранный (foreign language);Intermediate-high;когда;pr;ms;pr
иностранный (foreign language);Intermediate-high;хотя;pr;ms;pr
иностранный (foreign language);Intermediate-high;когда;np;ms;pr
иностранный (foreign language);Intermediate-high;если;pr;sm;pr
иностранный (foreign language);Intermediate-high;из-за того что;pr;sm;pr
иностранный (foreign language);Intermediate-high;хотя;np;ms;pr
иностранный (foreign language);Intermediate-high;если;pr;ms;pr
